stepIndex,trigger,triggerTimeSeconds,observationTimeSeconds,sourceSnapshotId,sourceSnapshotTimeSeconds,exactTimestampMatch,pastSnapshotReuse,sourceSnapshotAdvanced,sourceSnapshotSkippedCount,futureLookAhead,tasksCount,vehiclesCount,candidateNodesCount,dynamicity,dynamicityLevel,suggestedReusePolicy,appliedReusePolicy,runtimeSeconds,horizonReachedAfterStep
0,"FIRST_RUN",5.0,5.0,"mosaic_generated_000_t_005",5.0,true,false,false,0,false,0,0,0,0.0,"UNKNOWN","FIRST_RUN","FIRST_RUN",9.981E-4,false
1,"SCHEDULED_WINDOW_EXPIRATION",10.0,10.0,"mosaic_generated_001_t_010",10.0,true,false,true,0,false,3,1,1,0.74999999975,"HIGH","COLD_START","COLD_START",0.0382216,false
2,"SCHEDULED_WINDOW_EXPIRATION",14.0,14.0,"mosaic_generated_001_t_010",10.0,false,true,false,0,false,3,1,1,0.0,"STABLE","WARM_START","WARM_START",0.0125962,false
3,"SCHEDULED_WINDOW_EXPIRATION",18.0,18.0,"mosaic_generated_002_t_015",15.0,false,false,true,0,false,5,3,9,0.6249999999444444,"MODERATE","PARTIAL_RESTART","PARTIAL_RESTART",0.0320361,false
4,"SCHEDULED_WINDOW_EXPIRATION",21.0,21.0,"mosaic_generated_003_t_020",20.0,false,false,true,0,false,8,4,16,0.374999999984375,"MODERATE","PARTIAL_RESTART","PARTIAL_RESTART",0.0486859,false
5,"SCHEDULED_WINDOW_EXPIRATION",23.0,23.0,"mosaic_generated_003_t_020",20.0,false,true,false,0,false,8,4,16,0.0,"STABLE","WARM_START","WARM_START",0.0324363,false
6,"SCHEDULED_WINDOW_EXPIRATION",25.0,25.0,"mosaic_generated_004_t_025",25.0,true,false,true,0,false,10,5,25,0.34999999999,"MODERATE","PARTIAL_RESTART","PARTIAL_RESTART",0.0425159,false
7,"SCHEDULED_WINDOW_EXPIRATION",26.0,26.0,"mosaic_generated_004_t_025",25.0,false,true,false,0,false,10,5,25,0.0,"STABLE","WARM_START","WARM_START",0.0531521,false
8,"SCHEDULED_WINDOW_EXPIRATION",27.0,27.0,"mosaic_generated_004_t_025",25.0,false,true,false,0,false,10,5,25,0.0,"STABLE","WARM_START","WARM_START",0.0343361,false
9,"SCHEDULED_WINDOW_EXPIRATION",28.0,28.0,"mosaic_generated_004_t_025",25.0,false,true,false,0,false,10,5,25,0.0,"STABLE","WARM_START","WARM_START",0.0304099,false
10,"SCHEDULED_WINDOW_EXPIRATION",29.0,29.0,"mosaic_generated_004_t_025",25.0,false,true,false,0,false,10,5,25,0.0,"STABLE","WARM_START","WARM_START",0.0315593,false
11,"SCHEDULED_WINDOW_EXPIRATION",30.0,30.0,"mosaic_generated_005_t_030",30.0,true,false,true,0,false,12,6,34,0.3333333333263889,"MODERATE","PARTIAL_RESTART","PARTIAL_RESTART",0.0446771,false
12,"SCHEDULED_WINDOW_EXPIRATION",30.0815603,30.0815603,"mosaic_generated_005_t_030",30.0,false,true,false,0,false,12,6,34,0.0,"STABLE","WARM_START","WARM_START",0.0432894,false
